customer_id,full_name,age,gender,country,city,occupation,annual_income,account_age_days,kyc_status,pep_flag,sanctions_flag,onboarding_date,risk_category,email,phone_number,customer_age_group,kyc_risk_flag
CUST-770487,James Thompson,32,Male,JP,New Bradley,Theatre stage manager,31185.0,1004,Verified,0,0,2023-08-18,Medium,ygarrett@example.org,2624899936,26-45,0
CUST-629903,Eric Payne,21,Other,UA,New Jason,Medical laboratory scientific officer,19994.0,2662,Pending,0,0,2019-02-02,High,scott51@example.com,nan,18-25,1
CUST-456778,Brianna Pearson,53,Male,US,West Jay,Field seismologist,34661.0,3128,Verified,0,0,2017-10-24,Low,nathanhernandez@example.com,666.501.5621,46-65,0
CUST-496922,Brian Mills,28,Other,GB,West Christophershire,Counselling psychologist,63966.0,2575,Verified,0,0,2019-04-30,Low,rogersangela@example.org,298-843-3794x01822,26-45,0
CUST-344098,Vincent Martin,30,Female,US,Calvinside,Network engineer,18696.0,2604,Pending,0,0,2019-04-01,High,rebeccaanderson@example.com,4873246759,26-45,1
CUST-660086,Kelly Phillips,49,Male,AU,West Timothy,Diagnostic radiographer,18696.0,1106,Rejected,0,0,2023-05-08,Low,dennislynn@example.net,731-277-2269,46-65,1
CUST-430776,Brandon Hicks,69,Female,PK,Lauramouth,Comptroller,66532.0,2324,Expired,0,0,2020-01-06,Medium,christopher52@example.com,750-868-9320x734,65+,0
CUST-881177,Samantha Hall,51,Other,DE,New David,Archivist,37692.0,2391,Verified,0,1,2019-10-31,High,laurie09@example.org,(344)424-4503x1036,46-65,0
CUST-757924,Christopher French,38,Other,CA,Cynthiamouth,Recruitment consultant,15857.0,261,Verified,0,0,2025-08-30,Low,lanekirsten@example.net,6668845893,26-45,0
CUST-814825,Samantha King,52,Other,GB,Campbellburgh,Tax adviser,32202.0,1203,Verified,0,0,2023-01-31,Low,jholland@example.com,475-885-3754x10936,46-65,0
CUST-755674,Adrian Luna,56,Other,AU,South Alexa,Transport planner,15924.0,815,Verified,0,0,2024-02-23,Medium,heather31@example.com,(565)201-7654,46-65,0
CUST-480612,Amy Lee,57,Male,NG,Lake Walterborough,Public relations officer,15898.0,3597,Verified,0,0,2016-07-12,Low,paulabates@example.net,203-867-7226,46-65,0
CUST-676510,Christopher Henderson,39,Female,DE,Annfort,Call centre manager,26091.0,2485,Verified,0,0,2019-07-29,Low,juanbyrd@example.org,(967)369-5382,26-45,0
CUST-642717,Diana Martinez,75,Male,US,Sethville,Database administrator,5771.0,263,Verified,0,0,2025-08-28,Low,,001-216-848-4305x5317,65+,0
CUST-132938,Kevin Gonzales,60,Male,AU,New Alison,"Scientist, audiological",6585.0,1141,Verified,0,0,2023-04-03,Medium,vargaspatrick@example.org,4407663039,46-65,0
CUST-198907,Dr. Christopher Gibson,30,Other,CA,Hillstad,Herpetologist,14859.0,1735,Verified,0,0,2021-08-17,Low,mcarroll@example.com,+1-915-911-5540x40641,26-45,0
CUST-300896,Logan Wolf,42,Other,AU,South Lisa,Electronics engineer,10840.0,1729,Verified,0,0,2021-08-23,Low,boonewesley@example.net,001-643-358-2178x481,26-45,0
CUST-666847,RAYMOND BROCK,19,Male,CH,Margaretton,"Scientist, research (physical sciences)",27445.0,3477,Verified,0,0,2016-11-09,Low,libarbara@example.com,954-776-3815,18-25,0
CUST-922157,Donald Brown,76,Female,CA,Guerreroton,Warehouse manager,11665.0,2993,Rejected,0,0,2018-03-08,Low,rrichmond@example.net,(349)936-2035,65+,1
CUST-163918,Tara Lopez,58,Male,NG,New Caitlinburgh,"Pharmacist, community",8195.0,1953,Verified,0,0,2021-01-11,Low,patriciahill@example.com,995.200.9933x7227,46-65,0
CUST-523389,Manuel Nguyen,33,Other,US,Hendersonshire,Research scientist (maths),61448.0,2436,Verified,0,0,2019-09-16,Medium,wrightdana@example.org,001-580-725-1669x408,26-45,0
CUST-350280,Jimmy Rivera,51,Female,LB,Deannaport,Building surveyor,18806.0,2644,Verified,0,0,2019-02-20,Low,,556.615.9724,46-65,0
CUST-663750,Michael Richardson,45,Other,US,South Daniel,Legal secretary,23092.0,1430,Expired,0,0,2022-06-18,Low,ucameron@example.com,960.246.3538,26-45,0
CUST-946305,Herbert Watson,85,Male,FR,Cherryfurt,"Exhibitions officer, museum/gallery",8124.0,2272,Verified,0,0,2020-02-27,Low,xhernandez@example.net,001-590-451-3695x8783,65+,0
